PSR Name	px_VLBI	px_timing	D_HE	D_optical	D_DM_NE2001	D_DM_YMW17	IPTA	S1400	Pbdot_obs	Pbdot_GR_Flag	Pbdot_GR	Pbdot_Shk	Pbdot_dgr	Pbdot_kz	Pbdot_Gal	Pbdot_Shk_Gal	mass_constraints	reference		m2_optical
J0348+0432	MSPSRPI	0.47(0)?		2.1(2)	"2.076, 1.375, >41.759"	"2.2549 , 1.3917 , 4.3043"		*	-0.273(45)e-12	Done	-0.258(+8-11)e-12	1.286(+249-219)e-15	1.398(118)e-15	8.41(+19-18)e-16	2.239(+137-136)e-15	3.53(+28-26)e-15	"q, mc"	Science2013_A Massive Pulsar in a Compact Relativistic Binary.pdf		0.172(3)
J0437-4715	6.396(54)	6.37(9)	0.156(1) DM		"0.139, 0.110, 0.172"	"0.1561 , 0.1459 , 0.1776"	X	149	3.7276(58)e-12	IPTA	-3.2(0)e-16						"omdot, sini, mc"	MNRAS_2016_Reardon_455_1751.pdf		
J0613-0200		1.25(13)	0.9+4-2 px		"1.705, 1.444, 1.966"	"1.0236 , 0.5577 , 1.345"	X	2.3	0.48(10)e-13	IPTA								MNRAS_2016_Desvignes_458_3341.pdf		
J0621+1002	MSPSRPI				"1.358, 1.141, 1.573"	"0.4198 , 0.1678 , 0.8536"	X	1.9		IPTA								MNRAS_2016_Desvignes_458_3341.pdf		
J0737-3039	0.872(143)	3(2)			"0.516, 0.494, 0.538"	"1.0949 , 0.4882 , 1.7645"		1.6	-1.252(17)e-12	Done	-1.24787(13)e-12	5.11(+184-138)e-16	-4.80(+57-71)e-16	3.96(+44-37)e-17	-4.40(+61-77)e-16	6.89(+1933-1560)e-17		Science2006-Tests of General Relativity from Timing the Double Pulsar.pdf		
J0751+1807		0.82(17)	0.4+2-1 (Fermi2PSR) px 1.51(35) (Guillemot16)  px		"1.145, 0.928, 1.386"	"0.4278 , 0.203 , 0.8427"	X	3.2	-3.50(25)e-14	IPTA	"???Author,  The mass of IPTA may be weaker! Need Check"						"h3, zeta"	MNRAS_2016_Desvignes_458_3341.pdf		
J1012+5307	MSPSRPI	0.71(17)		0.84(9)  MNRAS_1998_Callanan_298_207.pdf	"0.411, 0.355, 0.470"	"0.8049 , 0.641 , 0.9817"	X	3.2	6.1(4)e-14	IPTA	??? have send email to YJ.Guo							MNRAS_2016_Desvignes_458_3341		
J1022+1001	1.43(+2-3)	1.1(3)			"0.450, 0.385, 0.519"	"0.834 , 0.6472 , 1.0451"	X	6	-8.051(1178)e-16	IPTA								Deller_2016_ApJ_828_8__MNRAS_2016_Reardon_455_1751		0.92(5) for DA WD; 0.87(6) for DB WD
J1141-6545				MNRAS_2011_Antoniadis_412_580.pdf	"2.475, 2.106, 2.887"	"1.6756 , 1.5187 , 1.8175"		3.3	-3.93(8)e-13	Done	-3.86(0)e-13	2.67(+123-92)e-14	-2.91(+75-79)e-15	1.2(2)e-17	-2.79(+77-82)e-15	2.39(+126-95)e-14		PhysRevD.77.124017_MNRAS_2011_Antoniadis_412_580.pdf_1711.11244.pdf		
J1518+4904	MSPSRPI				"0.631, 0.546, 0.723"	"0.9643 , 0.7319 , 1.2335"		4	2.4(22)e-13	Done?	-8.6(29)e-16	1.181(310)e-13	-5.84(153)e-14	-1.091(+138-109)e-13	-1.675(+291-259)e-14	-4.95(+603-572)e-16		aa_2008_Janssen_490_753		
J1537+1155(B1534+12)	MSPSRPI	0.86(18) 			"0.947, 0.846, 1.058 "	"0.8771 , 0.6836 , 1.0932"		0.6	-0.1366(3)e-12	Done	1.9244(0.59)e-13	6.69(+160-112)e-14	3.15(+87-201)e-16	-6.44(+66-87)e-15	-6.12(+75-107)e-15	6.057(+1610-1120)e-14		Fonseca_2014_ApJ_787_82.pdf		
J1603-7202		1.1(8)			"1.166, 0.993, 1.340"	"1.1295 , 0.9987 , 1.2854"	X	3.1	3.0496(14222)e-13	IPTA								MNRAS_2016_Reardon_455_1751		
J1614-2230		1.4987(957) (NANOGrav11yr)	0.65(5) (Fermi2PSR) px 0.77(5)(Guillemot16) px		"1.273, 1.087, 1.473"	"1.3942 , 1.0217 , 2.0511"		1.2	1.6897(2146)e-12	Done	-0.00042(0)e-12	1.264(110)e-12	3.83(26)e-14	-3.06(19)e-14	7.69(441)e-15	1.272(118)e-12		NANOGrav_11yr		
J1713+0747	0.95(+6-5)	0.87(4)	1.06+6-5 px		"0.893, 0.795, 0.995"	"0.9177, 0.7691 , 1.0666"	X	10.2	0.34(15)e-12	IPTA	-6.20(1)e-18	6.47(+31-28)e-13	1.59(2)e-13	-4.89(+20-22)e-13	-3.3(2)e-13	3.17(+39-37)e-13		Zhu_2015_ApJ_809_41__1802.09206-2		
J1738+0333	MSPSRPI	0.68(5)			"1.426, 1.224, 1.638"	"1.5053, 1.1801 , 2.0924"	X	0.67	-17.0(31)e-15	IPTA	-27.7(19)e-15							MNRAS_2012_Freire_423_3328		
J1756-2251		1.05(55)	?????		"2.480, 2.119, 2.840"	"2.8068 , 2.5438 , 3.0123"		0.6	-2.29(5)e-13	????	-2.168(15)e-13	The distance is very difficult to constrain !						MNRAS_2014_Ferdman_443_2183.pdf		
J1757-1854					"7.385, 5.652, 9.318"	"19.5839 , 12.8615 , 25.0"		0.25	-5.3(2)e-12	????	-5.2747(6)e-12							MNRAS_2018_Cameron_475_L57		
J1802-2124		1.24(57)			"2.941, 2.507, 3.320"	"3.0262 , 2.7701 , 3.2378"	X	0.77		IPAT								MNRAS_2016_Desvignes_458_3341		
J1857+0943 (B1855+09)		1.1(4) / 0.6(2)(NANOGrav)	D_low information		"1.168, 0.946, 1.380"	"0.7666 , 0.6513 , 0.8645"	X	5		IPTA								NANOGrav_9yr_MNRAS_2009_Verbiest_400_951.pdf		
J1903+0327	MSPSRPI	NANOGrav		7(1)	"6.363, 5.664, 7.075"	"6.1111 , 5.2501 , 7.1925"		1.3	-0.0(2.06)e-11 NANOGrav data	???? NANOGrav data to be processed	-4.6(0)e-17	6.15(+175-148)e-12	-4.14(+116-122)e-12	2.5(+2-3)e-14	-4.11(+116-122)e-12	2.05(+239-217)e-12		MNRAS_2011_Freire_412_2763.pdf		
J1906+0746				7.4(+25-14) HI	"5.401, 4.801, 5.965"	"4.8151 , 4.311 , 5.2517"		0.55	-0.56(3)e-12	Done	-0.56498(15)e-12 	 0.00(3)e-12	-5.68(104)e-15	-4.5(7)e-19	-5.68(+101-104)e-15			van_Leeuwen_2015_ApJ_798_118		
J1909-3744		0.79(2)			"0.457, 0.402, 0.512"	"0.5639 , 0.4886 , 0.6282"	X	2.1	5.03(6)e-13	IPTA	-0.0291(7)e-13							NANOGrav_9yrs_MNRAS_2016_Reardon_455_1751_MNRAS_2016_Desvignes_458_3341		
